,G_MO,G_NOD,G_R,G_Rnd,R_D,Y
1982-03-31,0.006547103001162431,0.005472099470410986,0.1971187090925027,0.19819371262325414,0.01276181917274505,0.969131665954437
1982-06-30,0.006716442955116142,0.005323033387126077,0.197217052754051,0.19861046232204105,0.012859743256954105,0.966444976077226
1982-09-30,0.00688211445013209,0.005181172782701324,0.19674944420832174,0.1984503858757525,0.012904106528382468,0.9555936842104257
1982-12-31,0.00707109672958116,0.005073567669221561,0.1985235501416096,0.2005210792019692,0.012879935774035588,0.9487317807295111
1983-03-31,0.007279162732811036,0.004994470038643698,0.19808285658430833,0.20036754927847564,0.012949154890162868,0.9538078491497429
1983-06-30,0.007470612317439022,0.004931729156560165,0.19835011172406328,0.20088899488494213,0.013151187604428837,0.9678607714683611
1983-09-30,0.007617436813044848,0.004866282814912816,0.2000240795708654,0.20277523356899743,0.01334458342725737,0.9793033149049337
1983-12-31,0.007769487575516819,0.004832280514141566,0.19477733235908262,0.1977145394204579,0.013693029360859723,0.9916225319433313
1984-03-31,0.007886830720905185,0.004801884312702065,0.19583175144707976,0.19891669785528288,0.013909967936388927,1.0026727503629278
1984-06-30,0.008061605518184415,0.004787114354520825,0.1985825004813599,0.20185699164502344,0.01415372316928704,1.0115102499473574
1984-09-30,0.008279517780875018,0.004783434865495951,0.1989365399525003,0.20243262286787936,0.014338155088484055,1.012686287030989
1984-12-31,0.008554650869539588,0.004794665115378648,0.201985273139526,0.20574525889368692,0.014496248295702016,1.0123632308158186
1985-03-31,0.008850325085580688,0.004805146722155017,0.20092969230298907,0.20497487066641473,0.014603036391208137,1.0134911198327203
1985-06-30,0.009051190188992841,0.004817797385462654,0.20349812522049804,0.20773151802402823,0.014713494680333674,1.0137122947020156
1985-09-30,0.009141652915723478,0.004813208196746826,0.2065741402874336,0.21090258500641026,0.014801103690266793,1.020416187940637
1985-12-31,0.009121715987933003,0.004793419092522372,0.20614270820039318,0.21047100509580383,0.014929321646346949,1.0192538291179003
1986-03-31,0.009000435902101414,0.004762700494454709,0.20524030508284738,0.2094780404904941,0.014912855192276588,1.0200374849272815
1986-06-30,0.008972073133163961,0.004747554393333397,0.20728729970504392,0.2115118184448745,0.01479788564294935,1.0159721697831463
1986-09-30,0.009021031382014584,0.004740522412649144,0.21030141449435677,0.21458192346372218,0.014728376674501838,1.017077582630316
1986-12-31,0.009134950645803086,0.004737286130902649,0.20778420567494302,0.2121818701898435,0.014665558038700646,1.0139941079971375
1987-03-31,0.009314028689955466,0.004740251933233278,0.20707817172033038,0.2116519484770526,0.014557138630588218,1.013043496923838
1987-06-30,0.009390336665391515,0.004746726436799167,0.2072422368214677,0.21188584705006008,0.014460991682479728,1.0155594164657535
1987-09-30,0.009363676173723464,0.004752560716572634,0.20617289821830126,0.21078401367545208,0.014441560986966247,1.0160252193162835
1987-12-31,0.009245089894764686,0.004762150635723267,0.20692346937874923,0.21140640863779064,0.01458388162147972,1.0251384891161583
1988-03-31,0.009042112890097766,0.004777756057803686,0.20391237990681146,0.20817673673910553,0.01468487007628165,1.0222391112724194
1988-06-30,0.008811597938569156,0.004779185185518545,0.2031080452042621,0.2071404579573127,0.014920402333115975,1.027512144304388
1988-09-30,0.008553522923300892,0.004766709987848962,0.20074029699031995,0.2045271099257719,0.015036023332333963,1.0254822592709756
1988-12-31,0.008318074419424603,0.004763661684225533,0.20364730089764027,0.20720171363283935,0.015220074777410292,1.0311671799603481
1989-03-31,0.008060188464575044,0.004750731951753624,0.20137097535878543,0.20468043187160684,0.015339904896172877,1.0337368020095552
1989-06-30,0.007834319044507146,0.0047493671175484874,0.20322166868397235,0.206306620610931,0.015327134573813591,1.0338057407949712
1989-09-30,0.007669041404548953,0.004780173114413548,0.20371059124975427,0.20659945953988965,0.015379647953508624,1.0337496449640005
1989-12-31,0.007535288069138184,0.004822441243867258,0.20365672440991278,0.20636957123518374,0.015514428220411505,1.0281834377162757
1990-03-31,0.007402732647812432,0.004858548447197127,0.20562876832152638,0.20817295252214169,0.015623539994386247,1.0318531145813328
1990-06-30,0.007219559640689719,0.0048859506657482465,0.20508244887859947,0.20741605785354095,0.015702524968285957,1.0281175954836248
